"pcr_tube_label","mix_group","dil_vol"
1,"1C",1.34
2,"1C",2.07
3,"1A",4.29
4,"1C",1.71
5,"1A",3.76
6,"1C",1.91
7,"1C",1.31
8,"1C",0.99
9,"1C",1.28
10,"1C",2.1
11,"1C",1.04
12,"1C",2.03
13,"1C",1.06
14,"1B",2.91
15,"1C",1.4
16,"1C",1.49
17,"1C",0.93
18,"1C",0.94
19,"1C",2.25
20,"1A",2.37
21,"1C",1.35
22,"1C",1.07
23,"1C",1.17
24,"1C",1.03
25,"1C",1.13
26,"1A",3.02
27,"1A",4.14
28,"1C",1.42
29,"1C",1.89
30,"1C",1.82
31,"1B",1.74
32,"1B",1.42
33,"1C",1.29
34,"1A",0
35,"1C",0.92
36,"1C",0.96
37,"1C",1
38,"1C",0.95
39,"1C",0.85
40,"1C",0.87
